番号,大きな区分,場所,入れるもの,文章,写真のファイル名,リンク（なければなし）
01,Header,左上の名前,短い名前,,,
02,いちばん上の大きい写真のブロック,いちばん上の大きい写真,横長の写真1枚,,02.jpg,なし
03,いちばん上の大きい写真のブロック,大きい写真の上の見出し,短い見出し,,,なし
04,いちばん上の大きい写真のブロック,見出しの下の短い文章,2〜3行,,,なし
05,いちばん上の大きい写真のブロック,ボタン「作品を見る」,ボタンの言葉と行き先,,,
06,いちばん上の大きい写真のブロック,ボタン「お問い合わせ」,ボタンの言葉と行き先,,,
07a,いちばん上の大きい写真のブロック,3つの箱（左）,見出しと短い説明,,,なし
07b,いちばん上の大きい写真のブロック,3つの箱（中）,見出しと短い説明,,,なし
07c,いちばん上の大きい写真のブロック,3つの箱（右）,見出しと短い説明,,,なし
08,About,Profile の名前,名前,,,なし
09,About,名前の下の短い文章,2〜4行,,,なし
10a,About,絵1,写真,,,なし
10b,About,絵2,写真,,,なし
10c,About,絵3,写真,,,なし
10d,About,絵4,写真,,,なし
11,Works,作品のカード1,写真・短い文・リンク,,11.jpg,
12,Works,作品のカード2,写真・短い文・リンク,,12.jpg,
13,Works,作品のカード3,写真・短い文・リンク,,13.jpg,
14,Contact,問い合わせ,記入欄またはメールやURL,,,
